"",,17.07.2014,26.08.2014,24.09.2014,14.10.2014,24.11.2014,22.12.2014
MERITVE NA TERENU,,,,,,,
Temperatura zraka,0C,22,18,8,15,3,3
Temperatura vode,0C,"18,5","15,4","13,4","14,9","6,9","4,6"
pH,-,"7,9",8,"7,9","7,8","8,2","8,4"
Elektrièna prevodnost (25 0C),?S/cm,233,261,256,304,261,302
Kisik sonda,mg O2/l,"9,3","9,5","7,8",10,"11,7","10,1"
Nasièenost s kisikom - sonda,%,101,98,76,103,97,97
OSNOVNI PARAMETRI,,,,,,,
Suspendirane snovi po sušenju,mg/l,,,,,,
KPK s KMnO4,mg O2/l,,,,,,
KPK s K2Cr2O7,mg O2/l,,,,,,
BPK5,mg O2/l,,,,,,
TOC,mg C/l,"1,5","1,3","2,3","1,3","1,4","0,7"
DOC,mg C/l,"1,1","1,2","1,7","1,1","1,3","0,6"
Skupni dušik TN,mg N/l,,,,,,
Amoniak (prosti),mg NH3/l,,,,,,
Amonij,mg NH4/l,,,,,,
Nitriti,mg NO2/l,,,,,,
Nitrati,mg NO3/l,,,,,,
Sulfati,mg/l,,,,,,
Kloridi,mg/l,,,,,,
Fluoridi,?g/l,,,,,,
Celotni fosfor - nefiltriran,mg PO4/l,,,,,,
Ortofosfati,mg PO4/l,,,,,,
Kalcij,mg/l,43,44,33,37,35,37
Magnezij,mg/l,"8,7",7,"8,4","9,4","8,9","9,8"
Natrij,mg/l,"3,4","3,7",4,"5,3","3,7","5,1"
Kalij,mg/l,"1,2","1,4","3,7","1,5","1,2","1,5"
Hidrogenkarbonati,mg HCO3/l,,,,,,
Formaldehid,?g/l,,,,,,
Dušik-Kjeldahl,mg N/l,,,,,,
Skupna trdota,0NT,8,"7,8","6,6","7,3","6,9","7,4"
Karbonatna trdota,0NT,"4,7","5,3","6,2","6,2","5,9","6,4"
m-Alkaliteta,m-eqv/l,"1,7","1,9","2,2","2,2","2,1","2,3"
"",,17.07.2014,26.08.2014,24.09.2014,14.10.2014,24.11.2014,22.12.2014
"1,2,3,4,6,7,8-H7CDF-org. (mokra teža)",?g/kg,,,,,,
"1,2,3,4,7,8,9-H7CDF-org. (mokra teža)",?g/kg,,,,,,
"1,2,3,4,6,7,8,9-O8CDF-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4,4 ?-T4CB (PCB 77)-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4 ?,5-T4CB (PCB 81)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?-P5CB (PCB 105)-org. (mokra teža)",?g/kg,,,,,,
"2,3,4,4 ?,5-P5CB (PCB 114)-org. (mokra teža)",?g/kg,,,,,,
"2,3 ?,4,4 ?,5-P5CB (PCB 118)-org. (mokra teža)",?g/kg,,,,,,
"2,3 ?,4,4 ?,5 ?-P5CB (PCB 123)-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4,4 ?,5-P5CB (PCB 126)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?,5-H6CB (PCB 156)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?,5 ?-H6CB (PCB 157)-org. (mokra teža)",?g/kg,,,,,,
"2,3 ?,4,4 ?,5,5 ?-H6CB (PCB 167)-org. (mokra teža)",?g/kg,,,,,,
"3,3 ?,4,4 ?,5,5 ?-H6CB (PCB 169)-org. (mokra teža)",?g/kg,,,,,,
"2,3,3 ?,4,4 ?,5,5 ?-H7CB (PCB 189)-org. (mokra teža)",?g/kg,,,,,,
PCB-28-org. (mokra teža),?g/kg,,,,,,
PCB-52-org. (mokra teža),?g/kg,,,,,,
PCB-101-org. (mokra teža),?g/kg,,,,,,
PCB-138-org. (mokra teža),?g/kg,,,,,,
PCB-153-org. (mokra teža),?g/kg,,,,,,
PCB-180-org. (mokra teža),?g/kg,,,,,,
MIKROELEMENTI,,,,,,,
Mangan-filt.,?g/l,"3,4",8,11,"7,4",7,"6,6"
Železo - filt.,?g/l,<100,<100,<100,<100,<100,<100
Bor-filt.,?g/l,<10,11,<10,10,11,11
Aluminij-filt.,?g/l,21,28,36,13,21,10
Antimon-filt.,?g/l,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5
Arzen-filt.,?g/l,"1,4","1,1",1,"1,2","1,1","1,2"
Baker-filt.,?g/l,"1,7","2,9",1,"1,6","1,9",<1
Baker-sed.,mg/kg,,,,,,
Baker-org. (mokra teža),?g/kg,,,,,,
Barij-filt.,?g/l,23,35,23,24,26,25
Berilij-filt.,?g/l,<1,<1,<1,<1,<1,<1
Cink-filt.,?g/l,<10,12,<10,<10,13,11
Cink-sed.,mg/kg,,,,,,
Cink-org. (mokra teža),?g/kg,,,,,,
Kadmij-filt.,?g/l,"0,015","0,023","0,033","0,02","0,026","0,043"
Kadmij-sed.,mg/kg,,,,,,
Kadmij-org. (mokra teža),?g/kg,,,,,,
Kobalt-filt.,?g/l,"0,071","0,096","0,091","0,082","0,11","0,077"
Kositer-filt.,?g/l,<1,<1,<1,<1,<1,<1
Krom-filt.,?g/l,<1,<1,<1,<1,<1,<1
Krom-sed.,mg/kg,,,,,,
Krom-org. (mokra teža),?g/kg,,,,,,
Molibden-filt.,?g/l,"1,8","1,7","1,4","1,6","1,5",2
Nikelj-filt.,?g/l,<1,<1,<1,<1,"1,2",<1
Nikelj-sed.,mg/kg,,,,,,
Nikelj-org. (mokra teža),?g/kg,,,,,,
Selen-filt.,?g/l,<1,<1,<1,<1,<1,<1
Srebro-filt.,?g/l,<1,<1,<1,<1,<1,<1
Svinec-filt.,?g/l,<1,<1,<1,<1,<1,<1
Svinec-sed.,mg/kg,,,,,,
Svinec-org. (mokra teža),?g/kg,,,,,,
Vanadij-filt.,?g/l,<1,<1,<1,"1,1",<1,<1
Živo srebro-filt.,?g/l,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
Živo srebro-sed.,mg/kg,,,,,,
Živo srebro-org. (mokra teža),?g/kg,,,,,,
Titan-filt.,?g/l,<1,<1,"1,6",<1,"1,2",<1
